Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	ERR1014019	/home/alumno19/resultados_eager/resultados_eager_eck/work/37/dccbe4b2b60ea61a556b1e2e56f10e/fastqc_raw/ERR1014019_raw_fastqc.zip
Samtools Flagstat (pre-samtools filter)	flagstat	ERR1014019	/home/alumno19/resultados_eager/resultados_eager_eck/work/37/dccbe4b2b60ea61a556b1e2e56f10e/flagstat/ERR1014019_flagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	ERR1014019	/home/alumno19/resultados_eager/resultados_eager_eck/work/37/dccbe4b2b60ea61a556b1e2e56f10e/flagstat_filtered/ERR1014019_postfilterflagstat.stats
Picard	DuplicationMetrics	ERR1014019	/home/alumno19/resultados_eager/resultados_eager_eck/work/37/dccbe4b2b60ea61a556b1e2e56f10e/markdup/ERR1014019_rmdup.metrics
Preseq	all_sections	ERR1014019	/home/alumno19/resultados_eager/resultados_eager_eck/work/37/dccbe4b2b60ea61a556b1e2e56f10e/preseq/ERR1014019.filtered.preseq
DamageProfiler	all_sections	ERR1014019	/home/alumno19/resultados_eager/resultados_eager_eck/work/37/dccbe4b2b60ea61a556b1e2e56f10e/damageprofiler/dmgprof8/dmgprof.json
QualiMap	genome_results	ERR1014019	/home/alumno19/resultados_eager/resultados_eager_eck/work/37/dccbe4b2b60ea61a556b1e2e56f10e/qualimap/qualimap8/ERR1014019_rmdup_stats/genome_results.txt
QualiMap	coverage_histogram	ERR1014019	/home/alumno19/resultados_eager/resultados_eager_eck/work/37/dccbe4b2b60ea61a556b1e2e56f10e/qualimap/qualimap8/ERR1014019_rmdup_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	ERR1014019	/home/alumno19/resultados_eager/resultados_eager_eck/work/37/dccbe4b2b60ea61a556b1e2e56f10e/qualimap/qualimap8/ERR1014019_rmdup_stats/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Bcftools	stats	ERR1014019	/home/alumno19/resultados_eager/resultados_eager_eck/work/37/dccbe4b2b60ea61a556b1e2e56f10e/bcftools_stats8
