#Coverage	Number of genomic locations
0.0	3.137047696E9
1.0	74413.0
2.0	3884.0
3.0	1196.0
4.0	918.0
5.0	813.0
6.0	776.0
7.0	628.0
8.0	672.0
9.0	422.0
10.0	307.0
11.0	330.0
12.0	399.0
13.0	275.0
14.0	291.0
15.0	295.0
16.0	393.0
17.0	332.0
18.0	366.0
19.0	425.0
20.0	461.0
21.0	373.0
22.0	372.0
23.0	478.0
24.0	402.0
25.0	451.0
26.0	460.0
27.0	456.0
28.0	412.0
29.0	483.0
30.0	502.0
31.0	512.0
32.0	541.0
33.0	482.0
34.0	478.0
35.0	465.0
36.0	411.0
37.0	429.0
38.0	486.0
39.0	500.0
40.0	488.0
41.0	509.0
42.0	583.0
43.0	495.0
44.0	615.0
45.0	573.0
46.0	494.0
47.0	464.0
48.0	360.0
49.0	376.0
50.0	382.0
51.0	432.0
52.0	473.0
53.0	430.0
54.0	401.0
55.0	363.0
56.0	373.0
57.0	343.0
58.0	332.0
59.0	330.0
60.0	322.0
61.0	369.0
62.0	374.0
63.0	356.0
64.0	290.0
65.0	338.0
66.0	308.0
67.0	281.0
68.0	259.0
69.0	295.0
70.0	253.0
71.0	231.0
72.0	300.0
73.0	241.0
74.0	269.0
75.0	243.0
76.0	239.0
77.0	212.0
78.0	198.0
79.0	181.0
80.0	198.0
81.0	188.0
82.0	172.0
83.0	157.0
84.0	135.0
85.0	114.0
86.0	117.0
87.0	94.0
88.0	84.0
89.0	96.0
90.0	84.0
91.0	94.0
92.0	86.0
93.0	93.0
94.0	82.0
95.0	88.0
96.0	106.0
97.0	91.0
98.0	62.0
99.0	64.0
100.0	59.0
101.0	54.0
102.0	44.0
103.0	45.0
104.0	46.0
105.0	56.0
106.0	52.0
107.0	44.0
108.0	23.0
109.0	15.0
110.0	20.0
111.0	18.0
112.0	12.0
113.0	11.0
114.0	11.0
115.0	8.0
116.0	10.0
117.0	7.0
118.0	6.0
119.0	5.0
120.0	5.0
121.0	3.0
122.0	3.0
123.0	6.0
124.0	5.0
125.0	4.0
126.0	4.0
127.0	6.0
128.0	4.0
129.0	9.0
130.0	6.0
131.0	6.0
132.0	6.0
133.0	10.0
134.0	9.0
135.0	3.0
136.0	1.0
138.0	3.0
139.0	6.0
140.0	4.0
141.0	3.0
142.0	9.0
143.0	11.0
144.0	8.0
145.0	10.0
146.0	6.0
147.0	3.0
