#Coverage (X)	Coverage
1.0	0.003620088049132164
2.0	0.0012481028772555192
3.0	0.0011242966819935418
4.0	0.0010861730441149575
5.0	0.001056910920723908
6.0	0.0010309957722256513
7.0	0.001006260033932449
8.0	9.862419364452535E-4
9.0	9.648212971029579E-4
10.0	9.513696456053822E-4
11.0	9.415837285189355E-4
12.0	9.310646645559473E-4
13.0	9.183461599491238E-4
14.0	9.095802733156688E-4
15.0	9.00304371455718E-4
16.0	8.909009657855904E-4
17.0	8.783737168869266E-4
18.0	8.677909010259555E-4
19.0	8.561243028140098E-4
20.0	8.425770234623542E-4
21.0	8.278822098617411E-4
22.0	8.159924799855389E-4
23.0	8.041346260654336E-4
24.0	7.888979212964387E-4
25.0	7.760837888355354E-4
26.0	7.617077347532586E-4
27.0	7.470447971087424E-4
28.0	7.325093632744029E-4
29.0	7.193764712951634E-4
30.0	7.039803867598948E-4
31.0	6.879786591582615E-4
32.0	6.716581720382919E-4
33.0	6.544132823336213E-4
34.0	6.390490737544496E-4
35.0	6.238123689854547E-4
36.0	6.089900515888758E-4
37.0	5.958890355657331E-4
38.0	5.822142524181118E-4
39.0	5.667225400287634E-4
40.0	5.50784564325113E-4
41.0	5.352291000377818E-4
42.0	5.19004240771892E-4
43.0	5.004205610958934E-4
44.0	4.846419651443057E-4
45.0	4.650382550295262E-4
46.0	4.467733348718639E-4
47.0	4.3102661487637306E-4
48.0	4.162361734216802E-4
49.0	4.0476083091789405E-4
50.0	3.927754731876121E-4
51.0	3.805988597491705E-4
