#Position (bp)	mapping quality
3921452.5	59.82404692082111
1.17643565E7	59.8961937716263
1.96072605E7	59.19129082426127
2.74501645E7	59.602649006622514
3.52930685E7	60.0
4.31359725E7	59.174311926605505
5.09788765E7	60.0
5.88217805E7	59.793103448275865
6.66646845E7	0.0
7.45075885E7	0.0
8.23504925E7	60.0
9.01933965E7	59.89342806394316
9.80363005E7	0.0
1.058792045E8	0.0
1.137221085E8	59.516129032258064
1.215650125E8	26.310769230769232
1.294079165E8	0.0
1.372508205E8	0.0
1.450937245E8	0.0
1.529366285E8	58.55421686746988
1.607795325E8	0.0
1.686224365E8	0.0
1.764653405E8	0.0
1.843082445E8	59.67213114754098
1.921511485E8	0.0
1.999940525E8	0.0
2.078369565E8	59.83471074380165
2.156798605E8	55.391666666666666
2.235227645E8	47.1088295687885
2.313656685E8	60.0
2.392085725E8	24.754901960784313
2.46190323E8	50.905797101449274
2.50111775E8	0.0
2.548943805E8	60.0
2.627372845E8	59.48213918005942
2.705801885E8	56.61290322580645
2.784230925E8	60.0
2.862659965E8	60.0
2.941089005E8	0.0
3.019518045E8	60.0
3.097947085E8	43.645161290322584
3.176376125E8	59.81366459627329
3.254805165E8	0.0
3.333234205E8	60.0
3.411663245E8	59.668508287292816
3.490092285E8	57.908419497784344
3.568521325E8	0.0
3.646950365E8	0.0
3.725379405E8	59.57446808510638
3.803808445E8	0.0
3.882237485E8	44.0
3.960666525E8	51.1875
4.039095565E8	59.54664914586071
4.117524605E8	59.53846153846154
4.195953645E8	60.0
4.274382685E8	57.6219512195122
4.352811725E8	59.37963770864947
4.431240765E8	60.0
4.509669805E8	60.0
4.588098845E8	0.0
4.666527885E8	59.72809667673716
4.744956925E8	0.0
4.823385965E8	58.472934472934476
4.893550215E8	0.0
4.932764735E8	0.0
4.980244045E8	0.0
5.058673085E8	52.936708860759495
5.137102125E8	60.0
5.215531165E8	59.68421052631579
5.293960205E8	60.0
5.372389245E8	46.821917808219176
5.450818285E8	59.807383627608345
5.529247325E8	59.51219512195122
5.607676365E8	59.381443298969074
5.686105405E8	0.0
5.764534445E8	0.0
5.842963485E8	0.0
5.921392525E8	0.0
5.999821565E8	0.0
6.078250605E8	60.0
6.156679645E8	59.75409836065574
6.235108685E8	0.0
6.313537725E8	0.0
6.391966765E8	59.620253164556964
6.470395805E8	0.0
6.548824845E8	60.0
6.627253885E8	0.0
6.705682925E8	59.37931034482759
6.784111965E8	59.518716577540104
6.862541005E8	57.59773371104816
6.903239885E8	0.0
6.942454405E8	59.622209502003436
7.019399085E8	58.98795180722892
7.097828125E8	58.63551401869159
7.176257165E8	60.0
7.254686205E8	21.0
7.333115245E8	59.2
7.411544285E8	30.0
7.489973325E8	60.0
7.568402365E8	60.0
7.646831405E8	58.85057471264368
7.725260445E8	60.0
7.803689485E8	53.77777777777778
7.882118525E8	60.0
7.960547565E8	60.0
8.038976605E8	55.893462469733656
8.117405645E8	0.0
8.195834685E8	60.0
8.274263725E8	43.0
8.352692765E8	60.0
8.431121805E8	0.0
8.509550845E8	0.0
8.587979885E8	59.94076999012833
8.666408925E8	0.0
8.744837965E8	60.0
8.800159745E8	60.0
8.839374265E8	59.13669064748201
8.901696045E8	59.55882352941177
8.980125085E8	59.54935622317596
9.058554125E8	60.0
9.136983165E8	60.0
9.215412205E8	59.48364888123924
9.293841245E8	0.0
9.372270285E8	0.0
9.450699325E8	0.0
9.529128365E8	0.0
9.607557405E8	59.43589743589744
9.685986445E8	0.0
9.764415485E8	60.0
9.842844525E8	59.40594059405941
9.921273565E8	21.0
9.999702605E8	0.0
1.0078131645E9	59.464285714285715
1.0156560685E9	59.787234042553195
1.0234989725E9	60.0
1.0313418765E9	59.576185671039354
1.0391847805E9	0.0
1.0470276845E9	59.6078431372549
1.0548705885E9	60.0
1.0606670005E9	0.0
1.0645884525E9	0.0
1.0705563965E9	60.0
1.0783993005E9	60.0
1.0862422045E9	50.46370967741935
1.0940851085E9	0.0
1.1019280125E9	59.333333333333336
1.1097709165E9	59.69230769230769
1.1176138205E9	0.0
1.1254567245E9	54.641350210970465
1.1332996285E9	59.701492537313435
1.1411425325E9	0.0
1.1489854365E9	41.81963927855711
1.1568283405E9	0.0
1.1646712445E9	0.0
1.1725141485E9	60.0
1.1803570525E9	55.42168674698795
1.1881999565E9	48.0
1.1960428605E9	22.62295081967213
1.2038857645E9	59.58620689655172
1.2117286685E9	0.0
1.2195715725E9	45.29457364341085
1.2274144765E9	60.0
1.232496478E9	0.0
1.23641793E9	60.0
1.2431002845E9	0.0
1.2509431885E9	0.0
1.2587860925E9	59.53846153846154
1.2666289965E9	59.36575052854123
1.2744719005E9	59.488085989791124
1.2823148045E9	59.21568627450981
1.2901577085E9	30.367816091954023
1.2980006125E9	0.0
1.3058435165E9	47.08612440191388
1.3136864205E9	0.0
1.3215293245E9	60.0
1.3293722285E9	0.0
1.3372151325E9	54.67474747474748
1.3450580365E9	54.0
1.3529009405E9	0.0
1.3607438445E9	59.34967221146443
1.3685867485E9	59.57040572792363
1.3764296525E9	0.0
1.3842725565E9	58.30140845070422
1.3904948495E9	59.53846153846154
1.3944163015E9	0.0
1.3999583645E9	56.839285714285715
1.4078012685E9	60.0
